x1;x2;xyz;age
33;U;IXPR;80
97;E;DXTX;26
11;Z;EJXO;53
58;R;ICRX;42
43;I;FRRU;74
29;F;TWBR;71
39;J;HSEZ;73
75;A;QMVQ;19
45;S;UXLT;52
87;G;LZUG;60
32;A;YFXJ;70
90;Y;DQJO;76
90;Z;TJLB;31
8;T;DUPJ;29
98;X;MZUX;61
64;W;GRFR;73
100;N;ADAN;45
94;Y;CZRZ;51
9;V;ORVA;80
47;L;CVED;63
14;Z;ZIIU;49
32;C;SQGU;59
73;Y;KLIL;65
3;H;BHJD;63
33;V;BDJC;59
1;Z;PDDG;43
88;A;TMXN;54
36;S;VLAG;62
64;Q;SONG;40
81;B;JWUQ;73
29;U;DZOI;41
31;S;KKYD;81
39;Y;YRAF;40
95;A;BDAO;47
73;E;QUND;46
52;O;DSRN;79
5;C;ZTIS;39
15;Z;XRJP;62
19;R;USYP;58
21;U;VYPL;40
7;L;OASS;62
77;G;AKIN;55
31;B;JFCL;79
71;P;JOGY;57
5;Y;XNLZ;80
12;I;EWKF;62
48;I;YAVF;49
90;R;CWUP;42
28;T;GRLE;21
28;I;WGWU;76
26;I;TFAL;31
44;J;MSRH;54
83;V;EFTH;67
14;W;FUQY;20
14;I;UBGY;56
57;T;PWMR;51
56;C;ODNL;77
93;Z;QHQW;64
33;C;TXPB;37
47;H;AVAE;41
34;T;MXIG;33
83;F;YKMZ;19
36;R;ZGVE;48
39;C;HURG;62
82;S;TGMG;81
98;O;ZXOQ;81
19;U;JUDI;77
58;N;OSMY;39
63;J;SPPF;21
41;O;ZZRC;22
29;X;BQGS;32
88;N;BDYE;59
84;N;DQIB;30
41;D;KGOW;73
5;M;MRKE;60
26;Q;QUJP;44
100;L;QVEX;47
68;Q;FMTQ;64
46;E;KZBT;27
62;W;OJRJ;37
19;F;MVJE;79
10;W;PSXV;27
20;D;VATZ;18
95;J;PHOR;41
17;I;OIXT;60
53;U;TASX;30
52;E;ZYLH;45
29;C;TQVP;49
11;U;EBQQ;70
3;E;UPHX;68
95;O;WPJF;60
93;T;JXHE;36
6;V;FLTU;47
4;H;VBUU;47
15;Z;USBG;59
88;A;FJQH;61
18;L;BVIR;30
92;Y;IDBC;18
76;C;SUFY;19
66;A;JLWN;26
47;W;IVDC;59
73;Y;LSEQ;58
26;C;KEKW;67
88;C;VYNG;18
67;H;WBMN;55
54;T;EHMN;48
81;C;NFKP;80
91;S;VJUS;52
26;P;DYMH;47
92;S;LCSQ;18
20;K;PQTZ;37
34;H;DTTT;81
54;T;HGNG;36
26;V;CMPD;81
9;Z;TXZT;69
62;Y;XGLK;51
17;J;IPYT;69
23;X;APQF;31
28;J;UZRQ;53
18;B;SBGE;58
41;K;QSGA;51
25;D;OUSG;59
94;X;KKPF;70
20;X;MJKM;28
41;Z;JFKB;36
97;Y;CXOP;46
38;O;ZZXJ;37
15;V;THCX;34
86;L;VUZW;64
20;R;YTAM;27
85;C;QGVU;32
73;P;CLCH;40
63;V;GABT;81
12;R;TSDU;78
43;S;ACAZ;53
92;L;AARQ;32
24;E;KENZ;66
4;F;JJCT;34
2;R;YZXY;37
72;K;QBHH;69
70;V;DJEH;73
84;H;LRJG;50
64;C;BVKR;25
23;B;SHBJ;45
53;W;FFBJ;26
90;D;GZWQ;76
66;L;RUCK;22
85;F;SRRQ;68
9;V;QJDS;76
37;Y;QNTX;74
50;F;AOBW;68
40;J;OQLA;28
99;D;AAUF;79
68;W;QMCV;44
41;X;VXXO;50
89;Q;TGRU;21
24;Q;GICF;56
47;J;ADDK;56
96;U;EUNB;24
62;U;MODC;64
56;U;WZHN;43
20;P;UNGL;26
64;B;AZMX;62
85;J;AJMK;74
79;U;BZAM;42
70;W;LQDH;41
12;Q;NPKH;19
6;C;IRRS;27
2;Z;TJKZ;20
43;S;OMCZ;19
36;S;TTII;77
82;N;XVXH;72
80;B;EOTO;41
21;K;ZAYM;75
93;E;GBPX;19
47;C;FYZX;33
56;V;GRGM;72
19;C;DUCM;51
10;D;ALUJ;58
82;P;ZYCY;62
25;Z;VZZF;26
40;C;YRJY;52
5;W;WKHF;29
100;I;HIDY;22
23;S;ZLYN;53
48;C;ICQP;79
7;O;KSPQ;32
52;W;FRXD;68
42;R;TKON;23
80;V;EFDF;18
79;O;NIYP;74
31;M;NSLZ;78
64;Z;NNZC;20
65;C;OOPD;29
51;N;ZGQC;48
89;T;FWHQ;69
61;U;RXOD;22
16;U;AVSG;28
33;N;FWLP;77
43;I;CSKF;51
