intnr;int_jahr;int_mon;mobil;az;nt;zpalter;Stib;lguelt;x1216;y1216;Bula;gkpol;BIK10;des2018;gew2018;gew2018_hr17;S1;S2_m;S2_j
1955;2017;11;0;39;0;58;2;1;NA;NA;11;7;10;0.296;0.342;639.7395398760743;2;12;1958
5571;2017;11;0;35;0;38;2;NA;NA;NA;2;7;10;0.267;1.708;3194.956532480511;2;9;1979
5707;2017;11;0;45;0;57;2;1;NA;NA;2;7;10;0.534;0.427;798.7391331201278;1;8;1960
5716;2017;10;0;40;0;43;2;2;12000;1;2;7;10;0.296;0.206;385.3401906855886;1;10;1974
5998;2017;12;0;40;0;48;2;1;NA;NA;2;7;10;0.572;0.685;1281.349663202079;1;11;1969
6104;2017;12;0;40;0;28;2;2;12000;1;2;7;10;0.267;0.663;1240.196827303618;2;11;1989
7421;2017;11;0;37;0;50;4;2;12000;1;3;6;8;0.382;0.459;858.5978035178894;1;9;1967
7624;2017;11;0;40;0;41;2;1;NA;NA;3;2;7;0.534;0.497;929.6799746152308;1;6;1976
10073;2017;10;0;40;0;56;2;1;NA;NA;3;6;8;0.296;0.744;1391.7140867479513;2;1;1961
12210;2017;11;0;39;0;62;2;1;NA;NA;3;3;3;0.728;0.682;1275.7379128522887;1;11;1955
13453;2017;11;0;32;0;47;2;1;NA;NA;3;4;5;0.728;2.372;4437.0239432340595;2;4;1970
15722;2017;11;0;25;0;56;2;1;NA;NA;5;6;10;0.296;0.207;387.21077413551865;2;3;1961
18948;2017;11;0;38;0;32;2;1;NA;NA;5;6;8;0.243;0.318;594.8455370777533;1;4;1985
24509;2017;11;0;45;0;40;2;1;NA;NA;5;4;4;0.728;1.513;2830.192759744153;1;8;1977
24658;2017;10;0;45;0;49;2;NA;NA;NA;5;3;3;0.572;2.814;5263.821828103138;1;10;1968
25727;2017;12;0;60;1;66;4;3;12300;1;5;6;8;0.296;0.201;375.98727343593845;1;7;1951
31079;2017;10;0;40;0;58;1;1;NA;NA;5;4;7;0.296;0.559;1045.6561485108937;2;9;1959
31670;2017;10;0;45;0;52;2;1;NA;NA;5;4;5;0.296;0.304;568.6573687787328;2;5;1965
33682;2017;11;0;23;0;52;2;1;NA;NA;6;7;10;1.145;1.156;2162.3944681191283;2;8;1965
34125;2017;11;0;43;0;53;2;1;NA;NA;6;6;10;0.728;1.636;3060.274524085549;1;7;1964
39593;2017;11;0;39;0;43;2;2;12000;1;7;1;1;0.802;1.189;2224.12372196682;2;5;1974
43159;2017;10;0;38;0;55;1;1;NA;NA;10;3;3;0.296;0.673;1258.9026618029181;1;6;1962
48343;2017;11;0;42;0;52;2;2;12000;1;8;6;8;1.145;0.833;1558.196013791725;2;8;1965
48670;2017;11;0;50;0;66;2;1;NA;NA;8;3;7;0.296;0.359;671.539458524885;1;12;1950
53829;2017;11;0;45;0;54;2;1;NA;NA;9;7;10;0.572;0.207;387.21077413551865;1;6;1963
53955;2017;10;0;39;1;52;2;2;12000;1;9;7;10;0.534;0.269;503.1869480311813;2;3;1965
54848;2017;11;0;24;0;25;2;1;NA;NA;9;7;10;0.534;0.596;1114.867736158305;2;11;1992
55049;2017;11;0;50;0;34;2;1;NA;NA;9;7;10;0.534;0.431;806.2214669198481;1;1;1983
55955;2017;10;0;20;0;59;2;1;NA;NA;9;3;9;0.534;0.469;877.3036380171897;2;1;1958
63220;2017;11;0;20;0;34;2;1;NA;NA;9;1;5;1.145;1.26;2356.935146911853;2;7;1983
65139;2017;11;0;25;0;51;2;1;NA;NA;9;3;4;0.534;0.518;968.9622270637618;2;3;1966
66774;2017;11;0;30;0;33;2;1;NA;NA;11;7;10;0.534;0.316;591.1043701778932;2;9;1984
69996;2017;11;0;40;0;63;1;1;NA;NA;13;1;7;0.534;1.1;2057.6417949230463;1;8;1954
72856;2017;11;0;50;0;43;2;1;NA;NA;14;7;10;0.267;0.231;432.1047769338397;1;2;1974
76587;2017;11;0;40;0;55;4;1;23100;0;15;4;5;0.296;0.204;381.59902378572855;1;8;1962
77580;2017;10;0;40;0;56;1;1;NA;NA;15;3;3;1.145;2.449;4581.058868878672;1;3;1961
80349;2017;10;0;41;0;30;3;2;12000;1;7;4;8;1.415;1.587;2968.615935038976;2;7;1987
81027;2017;10;0;40;0;42;1;1;NA;NA;3;4;10;0.296;0.747;1397.3258370977412;1;5;1975
81318;2017;10;0;45;0;46;2;2;12000;1;13;1;4;1.145;1.119;2093.182880471717;1;11;1970
81936;2017;11;0;30;0;59;2;1;NA;NA;5;7;10;0.296;0.376;703.3393771736958;2;1;1958
82165;2017;10;0;25;0;53;1;NA;NA;NA;5;6;8;1;1.058;1979.0772900259847;1;5;1964
82309;2017;10;0;30;0;51;2;1;NA;NA;12;5;7;0.296;0.202;377.8578568858685;2;6;1966
82319;2017;10;0;45;0;49;2;3;12340;1;6;7;10;0.572;0.478;894.1388890665601;1;7;1968
82416;2017;10;0;42;0;53;2;1;NA;NA;6;7;10;0.534;0.342;639.7395398760743;2;12;1963
82491;2017;10;0;40;0;53;2;1;NA;NA;9;3;5;0.534;0.614;1148.5382382570456;1;5;1964
