intnr;int_jahr;int_mon;mobil;az;nt;zpalter;Stib;lguelt;x1216;y1216;Bula;gkpol;BIK10;des2018;gew2018;gew2018_hr17;S1;S2_m;S2_j
260;2017;11;0;80;0;41;4;3;12430;0;11;7;10;0.534;0.617;1154.149988606836;1;9;1976
690;2017;10;0;40;0;63;3;3;12300;1;11;7;10;0.296;0.263;491.96344733160106;2;5;1954
1306;2017;10;0;30;1;59;1;2;12300;1;11;7;10;0.296;0.471;881.0448049170496;2;8;1958
2495;2017;11;0;40;0;24;2;2;12000;1;1;4;10;0.296;3.829;7162.464029782132;1;12;1992
11337;2017;11;0;42;0;56;3;1;NA;NA;3;4;9;1.145;0.988;1848.1364485308816;1;5;1961
13210;2017;11;0;30;0;64;2;NA;NA;NA;3;3;7;0.728;0.839;1569.419514491305;2;1;1953
13724;2017;11;0;38;0;48;2;2;12000;1;3;3;5;0.296;0.302;564.9162018788727;1;3;1969
16133;2017;11;0;55;1;54;2;2;12000;1;5;5;10;0.296;0.202;377.8578568858685;2;3;1963
16913;2017;12;0;38;0;64;2;3;12300;1;5;7;10;0.296;0.238;445.19886108335;2;1;1953
17259;2017;11;0;45;0;56;2;2;12000;1;5;7;10;0.296;0.252;471.3870293823706;2;1;1961
23030;2017;11;0;40;0;45;4;4;12340;1;5;4;9;0.445;4.678;8750.589378772736;2;4;1972
24458;2017;11;0;38;0;43;2;1;NA;NA;5;4;4;0.534;1.238;2315.7823110133922;2;8;1974
26493;2017;11;0;40;0;57;5;1;NA;NA;5;5;5;1.145;1.521;2845.157427343594;1;12;1959
26743;2017;10;0;41;0;56;3;1;NA;NA;5;4;4;0.296;0.261;488.22228043174096;1;1;1961
30252;2017;12;0;40;0;54;2;1;NA;NA;5;6;8;0.688;0.576;1077.4560671597042;1;5;1963
32807;2017;12;0;40;0;54;4;2;12000;1;6;4;10;0.472;0.845;1580.6430151908855;1;7;1963
39916;2017;10;0;35;1;57;2;NA;NA;NA;7;2;7;0.296;0.6;1122.3500699580252;2;9;1960
43580;2017;11;0;40;0;42;2;2;12000;1;8;3;10;0.802;0.683;1277.6084963022188;1;9;1975
44569;2017;10;0;42;0;51;2;1;NA;NA;8;4;9;0.296;0.26;486.35169698181096;2;8;1966
47957;2018;1;0;20;0;50;2;1;NA;NA;8;3;9;1.145;3.594;6722.876919048571;2;3;1967
49172;2017;11;0;15;0;58;2;3;12430;0;8;3;4;0.534;0.776;1451.5727571457126;2;11;1959
49949;2017;11;0;30;0;36;2;2;12000;1;8;3;9;1.145;1.578;2951.7806839896066;2;11;1981
