x1;x2;xyz;age
59;T;NXNV;51
26;O;LXDY;46
67;Z;TTBG;64
49;P;RHLZ;37
35;M;IXSC;75
20;O;UXTC;72
82;K;FMNM;74
92;M;GVBV;75
86;S;HWAW;74
62;P;FFSR;59
49;X;ZTTY;78
85;C;FFFA;23
100;F;PBBD;30
6;W;HEIG;36
60;I;EHZC;34
87;D;LJGR;56
28;X;XAIW;58
5;F;CFXM;32
59;L;JXPP;24
12;I;PYOR;62
100;Q;TWSG;45
49;G;SYKV;63
42;Z;TCQO;71
69;K;QMMN;55
97;H;MSKQ;19
52;P;QJXN;28
72;R;VBQI;79
41;X;TUJE;36
75;C;MTTJ;78
34;O;RABN;56
70;H;VHLY;54
29;Z;GIHP;63
32;C;UEGO;60
53;U;ELCH;75
48;S;XYTA;70
2;F;MWGI;60
32;Y;DGHW;59
12;Y;TIBM;26
57;Z;TSPH;29
7;B;HMVL;62
89;W;MYCE;79
40;T;NMBC;58
28;L;YKWN;36
68;W;BHKT;71
66;Q;JWJW;69
29;J;UQLP;72
39;U;ZXKY;61
30;G;QTXE;73
12;K;YAOE;48
39;B;VFJA;38
23;T;JOSD;20
30;H;WPBW;81
42;C;XSEY;30
55;K;VGGF;71
40;P;DGIR;47
92;T;RXLR;43
3;M;MDJA;57
39;V;KFFG;19
58;O;FEXR;19
5;A;UDHD;20
90;O;OBKS;38
77;M;NUPT;32
28;Y;UIQZ;81
52;N;XIPR;69
69;C;BJRX;27
45;H;USOQ;23
39;S;XXPE;80
86;K;KYTN;44
25;L;MGRL;75
85;C;IWHF;50
37;Z;FFPG;31
96;N;NKFI;71
23;Y;ZCOJ;64
17;K;SWSQ;30
48;K;QYEP;27
27;W;CZBJ;63
18;X;QNVA;61
28;F;PNHL;63
21;R;OCVJ;50
35;H;HWAT;54
59;S;JCXS;37
61;E;PLPY;48
89;Z;OHUJ;34
53;W;HBTH;43
55;N;MSLJ;57
66;N;EGZJ;56
35;A;SJQA;73
56;X;XWPA;22
19;U;HEBX;55
11;T;RXJJ;49
46;U;CGMK;20
39;W;CVCG;69
42;J;CKAV;39
7;Y;NSUV;67
54;F;QMIV;32
77;F;MENY;18
92;N;VEQJ;58
15;I;DWWZ;76
94;R;PGRC;80
52;M;TUEQ;39
78;K;AGIE;35
66;J;OUDD;42
36;L;AENB;61
49;J;QWAS;31
11;L;NZBF;38
77;O;OJLW;61
95;I;WRGO;69
35;F;HEIZ;78
64;I;SRVQ;43
88;B;DKAW;65
99;S;BDAW;44
46;V;FEWJ;81
74;H;AYIR;57
19;M;INNZ;72
96;C;GFDX;44
36;E;NWII;77
61;A;LOCI;70
55;T;ANZF;43
14;P;DYOW;50
95;Z;GIDW;73
27;G;HOUM;42
22;Q;XBAE;43
63;N;TLMQ;60
10;J;QHOK;67
81;D;WWQB;43
74;D;IIEN;34
57;Z;PLPC;60
74;M;TTSW;77
76;U;OMAG;51
23;Q;JHIM;43
94;B;KUTA;39
15;N;BPXW;39
94;L;LSVC;66
13;P;WFRQ;31
49;F;DBWH;64
65;G;XCHV;81
44;F;NIFO;63
72;S;EISB;53
86;L;XJPF;42
39;L;HHAH;71
10;A;LWCC;56
96;A;KVVP;35
85;T;ZXCZ;58
71;Q;HUMU;59
24;N;EFEW;45
70;Q;SEJL;69
26;Z;NJTP;25
83;R;BKYG;26
36;I;GXEU;75
92;D;TRWH;45
34;K;EEPT;44
14;V;QTTX;60
20;T;WHAP;27
64;W;GUTU;34
29;Y;PALX;40
42;K;UCPR;46
86;L;GKPR;63
96;Q;VRCM;67
81;Z;XLPC;33
29;N;JMPG;29
2;W;BQJJ;75
77;A;IDWT;73
18;Y;JUIK;43
4;E;SMGR;73
97;S;POKW;45
57;U;PIMN;55
44;O;AHTC;71
25;R;ULDD;67
30;P;AXVG;28
81;G;AXQB;52
17;V;TGNZ;55
5;K;YPXP;73
86;X;KNWX;56
16;I;NKHY;62
65;W;SHNZ;24
20;Z;ZTYX;55
25;E;ZMJC;65
47;A;QGHN;65
100;X;TDVZ;60
11;E;MEEF;38
19;R;VSYF;20
91;V;RSWQ;36
86;G;WHKC;62
61;M;FOQT;81
32;Z;NBGX;78
70;Q;MPGH;61
