intnr;int_jahr;int_mon;mobil;az;nt;zpalter;Stib;lguelt;x1216;y1216;Bula;gkpol;BIK10;des2018;gew2018;gew2018_hr17;S1;S2_m;S2_j
491;2017;10;0;40;0;49;1;2;12000;1;11;7;10;1;1.121;2096.9240473715768;1;1;1968
5785;2017;11;0;26;0;34;2;NA;NA;NA;2;7;10;0.534;0.618;1156.0205720567658;2;5;1983
6632;2017;11;0;41;0;63;2;1;NA;NA;2;7;10;0.728;0.433;809.9626338197082;2;8;1954
7119;2017;11;0;39;0;36;2;1;NA;NA;3;6;8;0.728;0.791;1479.6315088946633;1;10;1981
11431;2017;11;0;40;1;62;2;1;NA;NA;3;2;7;0.296;0.233;435.84594383369983;2;9;1955
11655;2017;11;0;40;0;34;2;NA;NA;NA;3;5;7;0.267;0.519;970.8328105136918;1;1;1983
12128;2017;10;0;40;0;58;3;1;NA;NA;3;4;4;0.534;0.232;433.9753603837698;2;5;1959
12590;2017;11;0;40;0;62;2;2;12000;1;3;6;8;0.728;0.547;1023.2091471117329;2;5;1955
12696;2017;12;0;45;0;54;2;1;NA;NA;3;6;8;0.534;0.412;770.6803813711772;2;5;1963
13345;2017;11;0;40;0;56;1;1;NA;NA;3;4;7;0.296;1.229;2298.9470599640217;1;12;1960
15094;2017;12;0;40;0;48;1;1;12000;1;4;7;10;0.445;0.785;1468.408008195083;1;9;1969
15527;2017;11;0;45;0;56;2;2;12000;1;5;4;10;0.534;0.428;800.6097165700579;1;9;1961
19205;2017;11;0;23;0;42;2;2;12000;1;5;6;8;0.534;0.651;1217.7498259044573;2;5;1975
23293;2017;11;0;38;0;57;2;1;NA;NA;5;5;9;0.534;1.156;2162.3944681191283;1;6;1960
27370;2017;11;0;40;0;54;4;1;NA;NA;5;6;8;0.572;0.652;1219.6204093543874;2;5;1963
27699;2017;11;0;40;0;27;2;1;NA;NA;5;6;8;0.728;4.141;7746.086066160304;1;1;1990
29696;2017;10;0;12;0;64;2;1;NA;NA;5;7;10;0.728;1.444;2701.1225016989806;2;12;1952
30559;2017;11;0;60;0;31;2;1;NA;NA;5;6;8;0.728;4.866;9102.259067359584;1;8;1986
30699;2017;11;0;48;0;37;2;NA;NA;NA;5;6;8;0.802;4.851;9074.200315610633;1;12;1979
32240;2017;10;0;20;0;62;2;1;NA;NA;5;4;4;1.145;1.575;2946.1689336398163;2;5;1955
33175;2017;11;0;40;0;48;2;1;NA;NA;6;5;10;0.572;0.578;1081.1972340595642;2;12;1968
38445;2017;11;0;40;0;64;3;2;12000;1;7;2;8;0.534;0.414;774.4215482710373;1;6;1953
40940;2017;11;0;30;0;38;2;2;12000;1;7;6;8;0.445;0.371;693.9864599240456;2;5;1979
42468;2017;10;0;35;0;50;1;2;12000;1;10;4;8;0.572;0.625;1169.114656206276;1;8;1967
46226;2017;11;0;20;0;41;2;2;12000;1;8;4;4;0.728;0.783;1464.6668412952229;2;2;1976
46758;2017;12;0;45;0;64;2;3;12300;1;8;2;2;1;3.819;7143.75819528283;1;1;1953
47963;2017;10;0;45;0;55;2;1;NA;NA;8;3;9;1.415;3.097;5793.19694443334;1;12;1961
48728;2017;12;0;45;0;42;2;2;13200;0;8;3;7;0.572;0.568;1062.4913995602637;1;9;1975
48854;2017;11;0;30;0;58;2;2;12000;1;8;3;5;0.534;1.773;3316.544456725964;2;1;1959
49222;2017;11;0;20;0;35;2;1;NA;NA;8;4;4;0.534;0.847;1584.3841820907453;2;10;1982
