intnr;int_jahr;int_mon;mobil;az;nt;zpalter;Stib;lguelt;x1216;y1216;Bula;gkpol;BIK10;des2018;gew2018;gew2018_hr17;S1;S2_m;S2_j
4065;2017;12;0;20;0;58;2;2;12000;1;1;1;7;1.145;1.012;1893.0304513292024;2;11;1959
5774;2017;11;0;55;0;58;2;1;99999;9;2;7;10;0.267;0.218;407.7871920847491;1;11;1959
10091;2017;11;0;45;0;50;2;2;12000;1;3;6;8;0.267;0.429;802.4803000199879;1;2;1967
17662;2017;12;0;30;0;57;2;1;NA;NA;5;5;10;1.145;3.085;5770.7499430341795;2;10;1960
19925;2017;12;0;40;0;61;2;1;21000;0;5;4;5;0.534;0.452;845.503719368379;2;4;1956
27943;2017;11;0;30;0;54;2;1;NA;NA;5;4;7;0.534;0.464;867.9507207675396;2;2;1963
28990;2017;11;0;32;0;35;2;2;12000;1;5;3;3;0.296;0.982;1836.9129478313012;1;5;1982
32617;2017;11;0;45;0;50;2;2;12000;1;6;4;10;0.243;0.206;385.3401906855886;2;4;1967
36832;2017;11;0;39;0;52;2;1;21300;0;6;4;4;0.267;0.21;392.8225244853088;1;6;1965
37971;2017;12;0;22;0;35;2;1;NA;NA;6;4;4;2;3.054;5712.7618560863475;2;4;1982
39019;2017;10;0;50;0;29;2;2;99999;9;7;1;4;0.445;0.582;1088.6795678592844;1;7;1988
42930;2017;11;0;20;0;50;2;1;NA;NA;10;4;5;1.145;2.314;4328.530103138117;2;1;1967
44958;2017;11;0;10;0;75;4;2;12000;1;8;3;8;0.296;0.466;871.6918876673997;1;10;1942
48337;2017;10;0;60;0;63;4;3;12300;1;8;6;8;0.445;0.617;1154.149988606836;1;8;1954
50931;2018;1;0;50;0;37;2;1;NA;NA;8;2;5;0.534;0.731;1367.3965018988606;2;9;1980
52258;2017;11;0;35;0;54;2;1;NA;NA;8;3;7;0.296;0.382;714.5628778732761;2;4;1963
53179;2017;10;0;60;0;49;2;1;NA;NA;8;1;1;0.296;0.204;381.59902378572855;2;6;1968
53827;2017;10;0;42;0;58;2;1;NA;NA;9;7;10;0.445;0.243;454.5517783330002;1;2;1959
54014;2017;12;0;40;0;54;5;1;NA;NA;9;7;10;0.382;0.297;555.5632846292224;1;11;1963
54048;2017;11;0;38;0;21;2;1;NA;NA;9;7;10;0.728;0.278;520.0221990805517;1;1;1996
54381;2017;11;0;40;0;58;2;1;NA;NA;9;7;10;0.267;0.207;387.21077413551865;2;10;1959
57648;2017;11;0;23;0;52;2;1;NA;NA;9;4;8;0.534;0.848;1586.2547655406756;2;5;1965
60556;2017;11;0;40;1;51;4;1;NA;NA;9;3;4;0.296;0.305;570.5279522286628;2;3;1966
60871;2017;11;0;43;0;65;2;1;NA;NA;9;7;10;0.728;0.417;780.0332986208275;1;10;1952
61770;2017;10;0;50;0;47;2;3;12300;1;9;3;9;1.145;0.724;1354.3024177493503;2;5;1970
65888;2017;11;0;43;0;30;2;2;12000;1;11;7;10;0.534;1.098;2053.900628023186;1;3;1987
67695;2017;12;0;40;0;63;1;2;12000;1;12;3;9;0.534;0.886;1657.3369366380173;1;11;1954
79864;2017;11;0;45;0;62;1;1;NA;NA;16;2;2;0.534;0.588;1099.9030685588646;1;3;1955
81279;2017;10;0;31;0;52;2;1;NA;NA;8;5;6;0.728;0.518;968.9622270637618;2;3;1965
81778;2017;10;0;40;0;41;2;1;NA;NA;9;3;3;0.728;0.815;1524.525511692984;1;2;1976
81952;2017;11;0;39;0;50;2;1;NA;NA;6;3;7;0.534;0.544;1017.597396761943;2;10;1967
