intnr;int_jahr;int_mon;mobil;az;nt;zpalter;Stib;lguelt;x1216;y1216;Bula;gkpol;BIK10;des2018;gew2018;gew2018_hr17;S1;S2_m;S2_j
1488;2017;11;0;48;0;62;2;4;12340;1;11;7;10;0.267;0.203;379.72844033579855;2;4;1955
3609;2017;11;0;45;0;46;2;1;NA;NA;1;6;8;1.145;1.241;2321.3940613631826;1;10;1971
6300;2017;11;0;30;0;39;5;1;NA;NA;2;7;10;0.728;0.798;1492.7255930441736;1;4;1978
12881;2017;11;0;20;0;58;2;NA;NA;NA;3;6;8;0.534;0.412;770.6803813711772;2;9;1959
16014;2017;10;0;40;0;52;2;2;12000;1;5;6;10;0.445;0.358;669.668875074955;2;7;1965
20380;2017;11;0;15;0;57;1;NA;NA;NA;5;3;3;1.145;4.575;8557.919283429943;2;6;1960
23163;2017;11;0;30;0;70;4;1;NA;NA;5;5;9;0.296;0.388;725.7863785728563;1;5;1947
28114;2017;11;0;43;0;59;2;2;12000;1;5;5;7;0.296;0.217;405.9166086348191;2;6;1958
30786;2017;11;0;48;0;42;2;1;NA;NA;5;6;8;0.267;0.418;781.9038820707576;1;2;1975
35306;2017;11;0;40;0;44;2;1;NA;NA;6;6;8;0.296;0.352;658.4453743753747;1;4;1973
41020;2018;1;0;40;0;53;2;1;NA;NA;7;5;8;0.296;0.292;546.2103673795722;2;5;1964
42344;2017;11;0;60;0;57;1;2;12000;1;10;6;8;0.296;0.528;987.6680615630622;1;8;1960
44720;2017;11;0;45;0;31;1;1;NA;NA;8;3;9;0.728;3.099;5796.938111333201;1;9;1986
47759;2017;10;0;40;0;54;2;1;NA;NA;8;3;9;0.728;0.411;768.8097979212472;2;9;1963
49779;2017;12;0;42;0;47;2;2;12000;1;8;4;9;0.728;1.049;1962.242038976614;1;11;1970
50332;2017;11;0;37;0;54;1;1;NA;NA;8;5;7;0.534;2.022;3782.3197357585445;2;11;1963
51308;2017;10;0;20;0;51;1;1;NA;NA;8;3;3;0.296;0.293;548.0809508295023;2;8;1966
53106;2017;12;0;35;0;40;1;NA;NA;NA;8;4;4;0.728;1.675;3133.227278632821;1;3;1977
53710;2017;11;0;45;0;38;3;1;NA;NA;9;7;10;0.296;0.271;506.9281149310414;2;3;1979
54015;2017;10;0;39;0;59;2;1;99999;9;9;7;10;2;1.008;1885.5481175294824;2;9;1958
60272;2017;11;0;50;0;60;4;2;12000;1;9;3;7;0.572;0.388;725.7863785728563;2;10;1957
60942;2017;10;0;37;1;31;2;2;12000;1;9;7;10;0.534;0.295;551.8221177293624;2;10;1986
61749;2017;12;0;15;1;59;2;2;12000;1;9;3;9;0.728;0.639;1195.3028245052967;2;4;1958
61918;2017;11;0;45;0;48;1;1;NA;NA;9;6;8;0.534;1.451;2714.216585848491;1;3;1969
62149;2017;11;0;11;0;41;2;1;NA;NA;9;3;7;0.534;0.2;374.11668998600845;2;1;1976
62229;2017;11;0;50;0;57;4;2;99999;9;9;3;4;0.472;0.292;546.2103673795722;2;4;1960
